formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms
5b4731bc-5706-4489-8d4f-47499424194d,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | SEKRETARIAT UTAMA | PUSAT PENDIDIKAN DAN PELATIHAN,16,0,3500000,7500000,192
06eedcaf-adfc-4021-a3bd-07996cf72349,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA DKI JAKARTA,1,1,6862100,7726358,197
1d81f097-cb0a-4a40-9b51-7ceb159938a1,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA KEPULAUAN RIAU,2,1,6862100,7726358,111
2b69b7c4-72d4-40bd-9a2c-e4967656f7e3,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,1,1,6862100,7726358,63
af5dc60d-2c19-46b1-9b94-d55d9b71d840,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SUMATERA SELATAN,1,1,6862100,7746358,37
c2217cf9-f7a1-40b0-8658-d2b4501e6fd8,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA JAWA TENGAH,1,1,6862100,7726358,246
d0a93fee-65aa-4aaf-b60a-1e81632ac23c,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI UTARA,1,1,6862100,7726358,23
d8146961-5dc3-4766-8227-727c09976fd5,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI SELATAN,1,1,6862100,7726358,66
fad7430a-4e30-48ab-9f7f-507c30381f4b,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,2,1,6862100,7746358,108
61b38090-c8ea-428d-86bc-0f078de82dd4,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | SEKRETARIAT BAWASLU KAB. PENAJAM PASER UTARA | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,70
06eedcaf-adfc-4021-a3bd-07996cf72349,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA DKI JAKARTA,1,1,6862100,7726358,197
1d81f097-cb0a-4a40-9b51-7ceb159938a1,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA KEPULAUAN RIAU,2,1,6862100,7726358,111
2b69b7c4-72d4-40bd-9a2c-e4967656f7e3,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,1,1,6862100,7726358,63
af5dc60d-2c19-46b1-9b94-d55d9b71d840,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SUMATERA SELATAN,1,1,6862100,7746358,37
c2217cf9-f7a1-40b0-8658-d2b4501e6fd8,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA JAWA TENGAH,1,1,6862100,7726358,246
d0a93fee-65aa-4aaf-b60a-1e81632ac23c,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI UTARA,1,1,6862100,7726358,23
d8146961-5dc3-4766-8227-727c09976fd5,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI SELATAN,1,1,6862100,7726358,66
fad7430a-4e30-48ab-9f7f-507c30381f4b,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,2,1,6862100,7746358,108
61b38090-c8ea-428d-86bc-0f078de82dd4,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | SEKRETARIAT BAWASLU KAB. PENAJAM PASER UTARA | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,70
83d33008-174a-423e-be23-90cb519b43c8,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Kota Samarinda | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,84
1d81f097-cb0a-4a40-9b51-7ceb159938a1,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA KEPULAUAN RIAU,2,1,6862100,7726358,111
2b69b7c4-72d4-40bd-9a2c-e4967656f7e3,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,1,1,6862100,7726358,63
af5dc60d-2c19-46b1-9b94-d55d9b71d840,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SUMATERA SELATAN,1,1,6862100,7746358,37
c2217cf9-f7a1-40b0-8658-d2b4501e6fd8,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA JAWA TENGAH,1,1,6862100,7726358,246
d0a93fee-65aa-4aaf-b60a-1e81632ac23c,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI UTARA,1,1,6862100,7726358,23
d8146961-5dc3-4766-8227-727c09976fd5,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI SELATAN,1,1,6862100,7726358,66
fad7430a-4e30-48ab-9f7f-507c30381f4b,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,2,1,6862100,7746358,108
61b38090-c8ea-428d-86bc-0f078de82dd4,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | SEKRETARIAT BAWASLU KAB. PENAJAM PASER UTARA | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,70
83d33008-174a-423e-be23-90cb519b43c8,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Kota Samarinda | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,84
8a01866591ab92dd0191ac4cbddb01cc,Kementerian Agama,CPNS,LULUSAN TERBAIK,ANALIS KEBIJAKAN AHLI PERTAMA,INSPEKTORAT JENDERAL,1,1,2785700,6104700,3
2b69b7c4-72d4-40bd-9a2c-e4967656f7e3,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,1,1,6862100,7726358,63
af5dc60d-2c19-46b1-9b94-d55d9b71d840,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SUMATERA SELATAN,1,1,6862100,7746358,37
c2217cf9-f7a1-40b0-8658-d2b4501e6fd8,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA JAWA TENGAH,1,1,6862100,7726358,246
d0a93fee-65aa-4aaf-b60a-1e81632ac23c,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI UTARA,1,1,6862100,7726358,23
d8146961-5dc3-4766-8227-727c09976fd5,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI SELATAN,1,1,6862100,7726358,66
fad7430a-4e30-48ab-9f7f-507c30381f4b,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,2,1,6862100,7746358,108
61b38090-c8ea-428d-86bc-0f078de82dd4,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | SEKRETARIAT BAWASLU KAB. PENAJAM PASER UTARA | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,70
83d33008-174a-423e-be23-90cb519b43c8,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Kota Samarinda | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,84
8a01866591ab92dd0191ac4cbddb01cc,Kementerian Agama,CPNS,LULUSAN TERBAIK,ANALIS KEBIJAKAN AHLI PERTAMA,INSPEKTORAT JENDERAL,1,1,2785700,6104700,3
8a01866591ab92dd0191ac4cf6bd0201,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,ANALIS KEBIJAKAN AHLI PERTAMA,BALAI LITBANG AGAMA JAKARTA,1,1,2785700,6104700,1
af5dc60d-2c19-46b1-9b94-d55d9b71d840,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SUMATERA SELATAN,1,1,6862100,7746358,37
c2217cf9-f7a1-40b0-8658-d2b4501e6fd8,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA JAWA TENGAH,1,1,6862100,7726358,246
d0a93fee-65aa-4aaf-b60a-1e81632ac23c,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI UTARA,1,1,6862100,7726358,23
d8146961-5dc3-4766-8227-727c09976fd5,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI SELATAN,1,1,6862100,7726358,66
fad7430a-4e30-48ab-9f7f-507c30381f4b,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,2,1,6862100,7746358,108
61b38090-c8ea-428d-86bc-0f078de82dd4,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | SEKRETARIAT BAWASLU KAB. PENAJAM PASER UTARA | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,70
83d33008-174a-423e-be23-90cb519b43c8,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Kota Samarinda | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,84
8a01866591ab92dd0191ac4cbddb01cc,Kementerian Agama,CPNS,LULUSAN TERBAIK,ANALIS KEBIJAKAN AHLI PERTAMA,INSPEKTORAT JENDERAL,1,1,2785700,6104700,3
8a01866591ab92dd0191ac4cf6bd0201,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,ANALIS KEBIJAKAN AHLI PERTAMA,BALAI LITBANG AGAMA JAKARTA,1,1,2785700,6104700,1
8a01866591ab92dd0191ac4d2ab20236,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,ANALIS KEBIJAKAN AHLI PERTAMA,INSPEKTORAT JENDERAL,5,1,2785700,6104700,5
c2217cf9-f7a1-40b0-8658-d2b4501e6fd8,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA JAWA TENGAH,1,1,6862100,7726358,246
d0a93fee-65aa-4aaf-b60a-1e81632ac23c,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI UTARA,1,1,6862100,7726358,23
d8146961-5dc3-4766-8227-727c09976fd5,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI SELATAN,1,1,6862100,7726358,66
fad7430a-4e30-48ab-9f7f-507c30381f4b,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,2,1,6862100,7746358,108
61b38090-c8ea-428d-86bc-0f078de82dd4,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | SEKRETARIAT BAWASLU KAB. PENAJAM PASER UTARA | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,70
83d33008-174a-423e-be23-90cb519b43c8,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Kota Samarinda | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,84
8a01866591ab92dd0191ac4cbddb01cc,Kementerian Agama,CPNS,LULUSAN TERBAIK,ANALIS KEBIJAKAN AHLI PERTAMA,INSPEKTORAT JENDERAL,1,1,2785700,6104700,3
8a01866591ab92dd0191ac4cf6bd0201,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,ANALIS KEBIJAKAN AHLI PERTAMA,BALAI LITBANG AGAMA JAKARTA,1,1,2785700,6104700,1
8a01866591ab92dd0191ac4d2ab20236,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,ANALIS KEBIJAKAN AHLI PERTAMA,INSPEKTORAT JENDERAL,5,1,2785700,6104700,5
8a01866591ab92dd0191ac4de52b026b,Kementerian Agama,CPNS,LULUSAN TERBAIK,ANALIS KEBIJAKAN AHLI PERTAMA,SEKRETARIAT JENDERAL,2,1,2785700,6104700,10
d0a93fee-65aa-4aaf-b60a-1e81632ac23c,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI UTARA,1,1,6862100,7726358,23
d8146961-5dc3-4766-8227-727c09976fd5,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI SELATAN,1,1,6862100,7726358,66
fad7430a-4e30-48ab-9f7f-507c30381f4b,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,2,1,6862100,7746358,108
61b38090-c8ea-428d-86bc-0f078de82dd4,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | SEKRETARIAT BAWASLU KAB. PENAJAM PASER UTARA | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,70
83d33008-174a-423e-be23-90cb519b43c8,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Kota Samarinda | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,84
8a01866591ab92dd0191ac4cbddb01cc,Kementerian Agama,CPNS,LULUSAN TERBAIK,ANALIS KEBIJAKAN AHLI PERTAMA,INSPEKTORAT JENDERAL,1,1,2785700,6104700,3
8a01866591ab92dd0191ac4cf6bd0201,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,ANALIS KEBIJAKAN AHLI PERTAMA,BALAI LITBANG AGAMA JAKARTA,1,1,2785700,6104700,1
8a01866591ab92dd0191ac4d2ab20236,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,ANALIS KEBIJAKAN AHLI PERTAMA,INSPEKTORAT JENDERAL,5,1,2785700,6104700,5
8a01866591ab92dd0191ac4de52b026b,Kementerian Agama,CPNS,LULUSAN TERBAIK,ANALIS KEBIJAKAN AHLI PERTAMA,SEKRETARIAT JENDERAL,2,1,2785700,6104700,10
8a01866591ab92dd0191ac4e20e002a0,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,ANALIS KEBIJAKAN AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI SUMATERA SELATAN,2,1,2785700,6104700,6
d8146961-5dc3-4766-8227-727c09976fd5,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI SELATAN,1,1,6862100,7726358,66
fad7430a-4e30-48ab-9f7f-507c30381f4b,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,2,1,6862100,7746358,108
61b38090-c8ea-428d-86bc-0f078de82dd4,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | SEKRETARIAT BAWASLU KAB. PENAJAM PASER UTARA | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,70
83d33008-174a-423e-be23-90cb519b43c8,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Kota Samarinda | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,84
8a01866591ab92dd0191ac4cbddb01cc,Kementerian Agama,CPNS,LULUSAN TERBAIK,ANALIS KEBIJAKAN AHLI PERTAMA,INSPEKTORAT JENDERAL,1,1,2785700,6104700,3
8a01866591ab92dd0191ac4cf6bd0201,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,ANALIS KEBIJAKAN AHLI PERTAMA,BALAI LITBANG AGAMA JAKARTA,1,1,2785700,6104700,1
8a01866591ab92dd0191ac4d2ab20236,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,ANALIS KEBIJAKAN AHLI PERTAMA,INSPEKTORAT JENDERAL,5,1,2785700,6104700,5
8a01866591ab92dd0191ac4de52b026b,Kementerian Agama,CPNS,LULUSAN TERBAIK,ANALIS KEBIJAKAN AHLI PERTAMA,SEKRETARIAT JENDERAL,2,1,2785700,6104700,10
8a01866591ab92dd0191ac4e20e002a0,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,ANALIS KEBIJAKAN AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI SUMATERA SELATAN,2,1,2785700,6104700,6
8a01866591ab92dd0191ac4e89cd02d5,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,ANALIS KEBIJAKAN AHLI PERTAMA,SEKRETARIAT JENDERAL,8,1,2785700,6104700,29
fad7430a-4e30-48ab-9f7f-507c30381f4b,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,2,1,6862100,7746358,108
61b38090-c8ea-428d-86bc-0f078de82dd4,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | SEKRETARIAT BAWASLU KAB. PENAJAM PASER UTARA | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,70
83d33008-174a-423e-be23-90cb519b43c8,Badan Pengawas Pemilihan Umum,CPNS,UMUM,PENATA KELOLA PENGAWASAN PEMILIHAN UMUM AHLI PERTAMA,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Bawaslu Provinsi | Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Provinsi Kalimantan Timur | Sekretariat Bawaslu Kota Samarinda | Subbagian Pengawasan Pemilu dan Humas,1,0,6677120,7061518,84
